code,name,market,market_cap,shares,avg_trdval_60d,listed_days
209640,와이제이링크,KOSDAQ,170090013080,28443146,29503676327,133
101530,해태제과식품,KOSPI,170042240480,29116822,384978825,133
146320,비씨엔씨,KOSDAQ,169828438210,12797923,1301856822,133
080160,모두투어,KOSDAQ,169344000000,18900000,1059017824,133
285490,노바텍,KOSDAQ,168896021070,10575831,1837114425,133
032620,GC메디아이,KOSDAQ,168596758970,52197139,779638349,133
226590,엠디바이스,KOSDAQ,168360676640,10716784,12437142060,133
011785,금호석유화학우,KOSPI,167198775800,3023486,483610744,133
458650,성우,KOSDAQ,167157393700,15045670,1746195077,133
079960,동양이엔피,KOSDAQ,167025000000,7860000,1930394762,133
031440,신세계푸드,KOSPI,166710264000,3872480,632755050,133
140670,알에스오토메이션,KOSDAQ,165890732800,12839840,5114653719,133
000860,강남제비스코,KOSPI,164840000000,13000000,516814494,133
115500,케이씨에스,KOSDAQ,164760000000,12000000,19340483265,133
400760,NH올원리츠,KOSPI,164513178625,54929275,592592735,133
259630,엠플러스,KOSDAQ,164391226200,12222396,7583990455,133
203400,에이비온,KOSDAQ,164344778496,90101304,1878809921,133
049430,코메론,KOSDAQ,164311680000,9048000,910121704,133
097955,CJ제일제당 우,KOSPI,163274259000,1327433,824068844,133
016880,웅진,KOSPI,162651607800,79927080,2383221359,133
077500,유니퀘스트,KOSPI,162648768060,21600102,4465428476,133
460850,동국씨엠,KOSPI,162648688640,29898656,1950876396,133
307930,컴퍼니케이,KOSDAQ,162344000000,15610000,3919058081,133
086980,쇼박스,KOSDAQ,162232420000,62638000,1455892986,133
017550,수산세보틱스,KOSPI,161925742350,62399130,15058463455,133
293480,하나제약,KOSPI,161911538060,17772946,395339209,133
271980,제일약품,KOSPI,161606543280,14704872,565837716,133
147830,제룡산업,KOSDAQ,161600000000,20000000,14710857129,133
380550,뉴로핏,KOSDAQ,161512985840,12198866,9538206491,133
038390,레드캡투어,KOSDAQ,161355932300,16720822,478302975,133
106190,하이텍팜,KOSDAQ,161198902680,10633173,1993349356,133
289080,SV인베스트먼트,KOSDAQ,161170464440,60138233,10972266766,133
015230,대창단조,KOSPI,160690230400,27143620,716178287,133
104480,티케이케미칼,KOSDAQ,160612231878,90895434,3935891096,133
234690,녹십자웰빙,KOSDAQ,160232546800,17963290,5223616593,133
166480,코아스템켐온,KOSDAQ,160197239280,52870376,2705454782,133
036010,아비코전자,KOSDAQ,159913996020,13292934,4663587905,133
095700,제넥신,KOSDAQ,159164026530,45540494,3315389399,133
445180,퓨릿,KOSDAQ,158999989000,17189188,1834554342,133
007570,일양약품,KOSPI,158792724480,19085664,1091627002,133
060150,인선이엔티,KOSDAQ,158105733640,45563612,524504935,133
023910,대한약품,KOSDAQ,158100000000,6000000,418260000,133
143240,사람인,KOSDAQ,157663818390,10732731,662497514,133
142210,유니트론텍,KOSDAQ,157295634740,20751403,6985237294,133
021080,에이티넘인베스트,KOSDAQ,157200000000,48000000,2134187863,133
221800,지구홀딩스,KOSDAQ,156987346620,16318851,10037066985,133
179290,엠아이텍,KOSDAQ,156973538300,32365678,754979571,133
083500,에프엔에스테크,KOSDAQ,156335412060,8575722,5008962607,133
018470,조일알미늄,KOSPI,156263543714,126631721,28156906196,133
049960,쎌바이오텍,KOSDAQ,156040000000,9400000,409902279,133
213500,한솔제지,KOSPI,155655767040,23800576,1576782879,133
046440,KG파이낸셜,KOSDAQ,155654234190,38010802,527706579,133
051980,중앙첨단소재,KOSDAQ,155528392600,111091709,8801988566,133
473980,노머스,KOSDAQ,155494067320,11059322,1205614303,133
004150,한솔홀딩스,KOSPI,155490889800,41026620,2294218311,133
004090,한국석유,KOSPI,154614381600,12694120,20901123842,133
000520,삼일제약,KOSPI,153794939990,21691811,2296548346,133
047310,파워로직스,KOSDAQ,153399063450,36610755,1493236386,133
260970,에스앤디,KOSDAQ,153026686600,2892754,2393312774,133
000020,동화약품,KOSPI,152785140900,27931470,550806666,133
289930,웨이비스,KOSDAQ,152528516000,13149010,6349365829,133
222040,코스맥스엔비티,KOSDAQ,152028360000,20628000,1628091713,133
090350,노루페인트,KOSPI,152000000000,20000000,1696209555,133
039560,다산네트웍스,KOSDAQ,151825176720,42888468,6370614218,133
053080,케이엔솔,KOSDAQ,151707747690,12999807,4357200519,133
048870,시너지이노베이션,KOSDAQ,151543976360,88106963,577420232,133
006060,화승인더,KOSPI,151300200000,55320000,551799126,133
073010,케이에스피,KOSDAQ,150918143750,40191250,4831934876,133
013990,아가방컴퍼니,KOSDAQ,150624914880,32887536,1607260837,133
282880,코윈테크,KOSDAQ,150619776160,11694082,1438865773,133
293780,압타바이오,KOSDAQ,150580650800,28093405,949890194,133
000970,한국주철관,KOSPI,150483300000,22800500,404675622,133
003480,한진중공업홀딩스,KOSPI,149716146840,29529812,662046285,133
072870,메가스터디,KOSDAQ,149369616270,11920959,764736100,133
125210,아모그린텍,KOSDAQ,149295949500,16496790,5291910381,133
105330,케이엔더블유,KOSDAQ,149141731200,16019520,1191690833,133
081000,일진다이아,KOSPI,149131237500,14202975,594619795,133
067280,멀티캠퍼스,KOSDAQ,149058491850,5926779,380645339,133
005960,동부건설,KOSPI,148923842870,22946663,2153352225,133
062970,한국첨단소재,KOSDAQ,148430396400,57088614,32802417741,133
469610,이노테크,KOSDAQ,148273282000,8942900,4463941435,133
002220,한일철강,KOSPI,148170903000,26697460,884342382,133
001540,안국약품,KOSDAQ,148031467000,13042420,2686014588,133
192410,오늘이엔엠,KOSDAQ,147337567650,25185909,2702750405,133
300080,플리토,KOSDAQ,146073241350,16505451,1407113905,133
396300,세아메카닉스,KOSDAQ,145957145000,26489500,11294773117,133
158430,아톤,KOSDAQ,145423626480,24482092,20474894322,133
059120,아진엑스텍,KOSDAQ,145198823380,18310066,15375481329,133
025560,미래산업,KOSPI,145088598000,5090828,4924674153,133
040160,누리플렉스,KOSDAQ,144545864650,12055535,1422304870,133
041440,현대에버다임,KOSDAQ,143625781600,17841712,5705684107,133
264660,씨앤지하이테크,KOSDAQ,143581710440,9721172,4025021360,133
093190,빅솔론,KOSDAQ,143137453200,19238905,304045610,133
220260,켐트로스,KOSDAQ,142720644750,32072055,1777458107,133
001520,동양,KOSPI,142255701548,238684063,628113672,133
299030,하나기술,KOSDAQ,142149499800,7994910,1379852614,133
056090,시지메드텍,KOSDAQ,141981174500,103259036,6451616275,133
101170,우림피티에스,KOSDAQ,141750000000,13500000,8376892297,133
008970,KBI동양철관,KOSPI,141538061148,103766907,6949125953,133
317400,자이에스앤디,KOSPI,141362285400,38782520,752486632,133
015890,태경산업,KOSPI,140882575000,29228750,395969680,133
009070,KCTC,KOSPI,140400000000,30000000,1887640528,133
023600,삼보판지,KOSDAQ,140072625000,16008300,361160778,133
008830,대동기어,KOSDAQ,139845811200,8987520,5705996347,133
108230,톱텍,KOSDAQ,139735425375,38023245,510435740,133
263860,지니언스,KOSDAQ,139371860000,9079600,2387001454,133
217270,넵튠,KOSDAQ,139038537925,46735643,355954053,133
214420,토니모리,KOSPI,139036738220,24054799,1345334780,133
002990,금호건설,KOSPI,138979703020,37259974,1149158759,133
204610,티쓰리,KOSDAQ,138803050000,55521220,1318396487,133
017510,세명전기,KOSDAQ,138433680000,15246000,16901180126,133
307750,국전,KOSDAQ,137934965840,53986288,8065945799,133
210540,디와이파워,KOSPI,137690098760,11041708,1278447595,133
049720,고려신용정보,KOSDAQ,137566000000,14300000,447123833,133
163730,핑거,KOSDAQ,137524024160,9406568,5884050947,133
297890,HB솔루션,KOSDAQ,137504918320,73140914,1784335096,133
000700,유수홀딩스,KOSPI,137500767360,26041812,420526027,133
331920,셀레믹스,KOSDAQ,137076044920,8164148,4238296172,133
205500,넥써쓰,KOSDAQ,136879331365,64112099,604364385,133
115310,인포바인,KOSDAQ,136176459950,15964415,332658309,133
054920,한컴위드,KOSDAQ,136006330420,28217081,23221358032,133
086670,비엠티,KOSDAQ,135984624500,9925885,2451335999,133
001360,삼성제약,KOSPI,135781717918,94162079,2664482731,133
272550,삼양패키징,KOSPI,135766338060,15068406,7228391348,133
005160,동국산업,KOSDAQ,135611205000,54244482,727503637,133
474610,RF시스템즈,KOSDAQ,135350350080,14307648,16608533934,133
240550,동방메디컬,KOSDAQ,135233252400,20933940,1275117168,133
019180,티에이치엔,KOSPI,134460000000,18000000,4614518845,133
381620,제닉스로보틱스,KOSDAQ,134458680000,13117920,9673290043,133
452190,한빛레이저,KOSDAQ,134433530340,23920557,23475466329,133
148150,세경하이테크,KOSDAQ,134174137950,35542818,657098985,133
475230,엔알비,KOSDAQ,134162787730,10898683,2474946340,133
047560,이스트소프트,KOSDAQ,133985134800,11753082,852371403,133
101970,우양에이치씨,KOSDAQ,133701681360,14790009,633051817,133
038290,마크로젠,KOSDAQ,133132392000,10841400,617639514,133
109740,디에스케이,KOSDAQ,132665612400,25710390,428123033,133
086890,이수앱지스,KOSDAQ,132517612500,40774650,834202392,133
340450,지씨지놈,KOSDAQ,131971424940,23650793,1750464953,133
408920,메쎄이상,KOSDAQ,131858987750,43232455,313554097,133
214390,경보제약,KOSPI,131726798600,23906860,8795997911,133
396270,넥스트칩,KOSDAQ,131549724000,32887431,4980476136,133
016740,두올,KOSPI,131470400040,28674024,899656588,133
037350,성도이엔지,KOSDAQ,131262300000,15210000,3770772293,133
297090,씨에스베어링,KOSDAQ,130896000000,27270000,4355476224,133
322180,LS티라유텍,KOSDAQ,130762400000,20921984,2052699523,133
256940,킵스파마,KOSDAQ,130708736970,20078147,1779881353,133
321370,센서뷰,KOSDAQ,130195563120,51664906,27330835662,133
